lat,lon
,
,
42.44237,-79.334553
42.44237,-79.334553
,
42.256247,-77.787497
,
,
42.256265,-77.787533
,
42.893662,-75.638476
40.910156,-73.123794
43.09087,-77.67458
,
,
42.443149,-79.334507
,
42.443317,-79.3345
,
,
43.090884,-77.674581
43.090407,-77.673851
,
,
,
42.444644,-79.334442
42.444738,-79.334437
42.445159,-79.334416
42.445159,-79.334416
42.487508,-79.335656
40.910169,-73.123827
40.910169,-73.123827
43.090911,-77.674584
42.44557,-79.334395
42.44557,-79.334395
43.090442,-77.673857
42.939334,-74.191665
43.090952,-77.674588
43.090512,-77.67387
43.090993,-77.674592
43.091007,-77.674593
40.910214,-73.123945
40.910156,-73.123794
42.442155,-79.334635
42.89363,-75.638469
40.910235,-73.123998
40.910246,-73.12403
40.910246,-73.12403
40.91016,-73.123805
43.091254,-77.674617
40.910289,-73.124156
43.091363,-77.674627
43.090825,-77.674273
43.091377,-77.674629
42.457494,-75.052216
44.674963,-73.468661
43.048509,-75.39662
40.736903,-74.000888
43.973748,-75.910878
42.868814,-73.780503
42.771881,-78.786426
40.768958,-73.981254
40.768958,-73.981254
,
42.484963,-79.32439
42.484963,-79.32439
41.604585,-74.18014
43.04441,-76.179976
41.930265,-73.977138
40.770832,-73.967255
42.923151,-76.591236
42.461087,-75.070188
42.461087,-75.070188
,
40.741197,-73.987742
40.770018,-73.941135
42.5766264,-73.8582849
42.885939,-78.877905
42.098177,-76.814809
42.751072,-73.790322
44.674963,-73.468661
42.921254,-75.818546
,
,
41.113829,-73.861623
40.722806,-73.66414
42.14296,-77.041717
42.865154,-73.788809
41.207891,-74.030086
43.257736,-77.698848
40.705279,-74.008582
41.500301,-74.008307
41.500301,-74.008307
42.248305,-73.779607
43.050524,-76.151864
42.677689,-75.498725
42.677689,-75.498725
43.973748,-75.910878
43.130218,-77.670519
42.661113,-73.749741
42.695991,-74.923255
42.695991,-74.923255
42.695991,-74.923255
42.695991,-74.923255
42.695991,-74.923255
41.115825,-74.147987
41.115825,-74.147987
41.115825,-74.147987
41.034454,-73.771185
40.786493,-73.725045
43.1546058,-77.6059888299835
43.15445,-77.606065
40.711563,-74.006843
40.7373752,-73.9586445988778
42.346357,-77.664003
42.771881,-78.786426
42.771881,-78.786426
42.771881,-78.786426
42.771881,-78.786426
42.771881,-78.786426
42.771881,-78.786426
42.771881,-78.786426
42.771881,-78.786426
41.048953,-74.00938
40.704837,-74.01407
40.704837,-74.01407
42.811719,-73.943554
42.811719,-73.943554
40.6545,-73.91275
40.663446,-73.403697
40.663446,-73.403697
40.663446,-73.403697
40.819436,-72.994197
40.764661,-73.97379
40.764661,-73.97379
40.764661,-73.97379
40.764661,-73.97379
40.764661,-73.97379
40.764661,-73.97379
40.764661,-73.97379
41.14921,-74.078157
41.145194,-73.781848
40.615536,-74.096312
40.615536,-74.096312
40.615536,-74.096312
42.954077,-74.380848
42.954077,-74.380848
42.954077,-74.380848
42.954077,-74.380848
43.126441,-75.3487
42.088708,-76.803166
42.088708,-76.803166
44.71765,-75.451726
44.71765,-75.451726
43.161293,-77.585485
41.032857,-73.764813
41.032857,-73.764813
41.032857,-73.764813
42.484963,-79.32439
